lon,lat,ssrd
95.19999695,5.5,5.058155811
95.30000305,5.199999809,4.839348833
95.30000305,5.300000191,4.903175614
95.30000305,5.400000095,4.974569497
95.30000305,5.5,5.023639931
95.30000305,5.800000191,5.221047342
95.30000305,5.900000095,5.263933525
95.40000153,4.900000095,4.760336411
95.40000153,5,4.731988956
95.40000153,5.099999905,4.745127031
95.40000153,5.199999809,4.763822225
95.40000153,5.300000191,4.826242414
95.40000153,5.400000095,4.900073597
95.40000153,5.5,4.997387525
95.40000153,5.599999905,5.075296042
95.5,4.800000191,4.763929053
95.5,4.900000095,4.719019042
95.5,5,4.688054258
95.5,5.099999905,4.671754819
95.5,5.199999809,4.689506353
95.5,5.300000191,4.751924564
95.5,5.400000095,4.850963594
95.5,5.5,4.958378864
95.5,5.599999905,5.051152533
95.59999847,4.699999809,4.768263569
95.59999847,4.800000191,4.721761003
95.59999847,4.900000095,4.677391075
95.59999847,5,4.646901092
95.59999847,5.099999905,4.622075058
95.59999847,5.199999809,4.622328286
95.59999847,5.300000191,4.703738439
95.59999847,5.400000095,4.810518667
95.59999847,5.5,4.917538272
95.59999847,5.599999905,5.012721542
95.69999695,2.799999952,4.86996345
95.69999695,4.599999905,4.777494444
95.69999695,4.699999809,4.738171231
95.69999695,4.800000191,4.693615339
95.69999695,4.900000095,4.648796328
95.69999695,5,4.617843417
95.69999695,5.099999905,4.592283425
95.69999695,5.199999809,4.604829978
95.69999695,5.300000191,4.674318731
95.69999695,5.400000095,4.778673528
95.69999695,5.5,4.886098689
95.69999695,5.599999905,4.988843131
95.80000305,2.700000048,4.883006564
95.80000305,2.799999952,4.872612431
95.80000305,4.5,4.783771678
95.80000305,4.599999905,4.746288308
95.80000305,4.699999809,4.70805515
95.80000305,4.800000191,4.667889167
95.80000305,4.900000095,4.625406561
95.80000305,5,4.594443758
95.80000305,5.099999905,4.595009561
95.80000305,5.199999809,4.614535653
95.80000305,5.300000191,4.672654958
95.80000305,5.400000095,4.752850419
95.80000305,5.5,4.858322972
95.90000153,2.700000048,4.888504336
95.90000153,2.799999952,4.867031569
95.90000153,4.400000095,4.790074631
95.90000153,4.5,4.752510147
95.90000153,4.599999905,4.715040625
95.90000153,4.699999809,4.676411803
95.90000153,4.800000191,4.637324006
95.90000153,4.900000095,4.598364803
95.90000153,5,4.598224342
95.90000153,5.099999905,4.607201992
95.90000153,5.199999809,4.626619278
95.90000153,5.300000191,4.684580317
95.90000153,5.400000095,4.752502233
96,2.599999905,4.881247831
96,2.700000048,4.874756939
96,2.799999952,4.867011786
96,4.300000191,4.809758989
96,4.400000095,4.764532444
96,4.5,4.716104964
96,4.599999905,4.675808411
96,4.699999809,4.637581189
96,4.800000191,4.598910822
96,4.900000095,4.591650361
96,5,4.610725394
96,5.099999905,4.624106803
96,5.199999809,4.643630914
96,5.300000191,4.701698783
96.09999847,2.599999905,4.860150947
96.09999847,2.700000048,4.858255708
96.09999847,4.199999809,4.828543208
96.09999847,4.300000191,4.795631753
96.09999847,4.400000095,4.749386369
96.09999847,4.5,4.688760522
96.09999847,4.599999905,4.636665225
96.09999847,4.699999809,4.597783175
96.09999847,4.800000191,4.588330725
96.09999847,4.900000095,4.590548431
96.09999847,5,4.611760058
96.09999847,5.099999905,4.639761306
96.09999847,5.199999809,4.662021447
96.19999695,2.5,4.849357192
96.19999695,2.599999905,4.842874214
96.19999695,4.199999809,4.807820228
96.19999695,4.300000191,4.776218425
96.19999695,4.400000095,4.731201583
96.19999695,4.5,4.668249222
96.19999695,4.599999905,4.604843825
96.19999695,4.699999809,4.591972828
96.19999695,4.800000191,4.592975839
96.19999695,4.900000095,4.595642625
96.19999695,5,4.617030325
96.19999695,5.099999905,4.645587481
96.19999695,5.199999809,4.682170714
96.30000305,2.5,4.854615586
96.30000305,4.099999905,4.818129292
96.30000305,4.199999809,4.769877886
96.30000305,4.300000191,4.732750611
96.30000305,4.400000095,4.686530947
96.30000305,4.5,4.62336295
96.30000305,4.599999905,4.589683903
96.30000305,4.699999809,4.599114589
96.30000305,4.800000191,4.612761092
96.30000305,4.900000095,4.617645583
96.30000305,5,4.638863147
96.30000305,5.099999905,4.669998064
96.30000305,5.199999809,4.717525403
96.40000153,2.400000095,4.858158772
96.40000153,2.5,4.856378275
96.40000153,3.900000095,4.846759647
96.40000153,4,4.828634211
96.40000153,4.099999905,4.798229297
96.40000153,4.199999809,4.742606642
96.40000153,4.300000191,4.690473753
96.40000153,4.400000095,4.641646653
96.40000153,4.5,4.607935953
96.40000153,4.599999905,4.583885425
96.40000153,4.699999809,4.594380453
96.40000153,4.800000191,4.625038594
96.40000153,4.900000095,4.641662481
96.40000153,5,4.666251111
96.40000153,5.099999905,4.707532872
96.5,2.400000095,4.858182511
96.5,3.799999952,4.816218228
96.5,3.900000095,4.794047111
96.5,4,4.776885119
96.5,4.099999905,4.747263622
96.5,4.199999809,4.694155422
96.5,4.300000191,4.63784035
96.5,4.400000095,4.63036425
96.5,4.5,4.614697875
96.5,4.599999905,4.590643392
96.5,4.699999809,4.601977231
96.5,4.800000191,4.633889631
96.5,4.900000095,4.666173958
96.5,5,4.70633005
96.5,5.099999905,4.747752269
96.59999847,3.799999952,4.700943064
96.59999847,3.900000095,4.68794545
96.59999847,4,4.672662872
96.59999847,4.099999905,4.642331156
96.59999847,4.199999809,4.588773872
96.59999847,4.300000191,4.583841903
96.59999847,4.400000095,4.611431656
96.59999847,4.5,4.629748992
96.59999847,4.599999905,4.625064311
96.59999847,4.699999809,4.635569231
96.59999847,4.800000191,4.668809089
96.59999847,4.900000095,4.7147142
96.59999847,5,4.752832614
96.59999847,5.099999905,4.791241844
96.59999847,5.199999809,4.825613306
96.69999695,3.799999952,4.5810762
96.69999695,3.900000095,4.568102328
96.69999695,4,4.559548039
96.69999695,4.099999905,4.536565808
96.69999695,4.199999809,4.533645797
96.69999695,4.300000191,4.548823525
96.69999695,4.400000095,4.577293636
96.69999695,4.5,4.622134408
96.69999695,4.599999905,4.655983592
96.69999695,4.699999809,4.672106961
96.69999695,4.800000191,4.719228744
96.69999695,4.900000095,4.765438517
96.69999695,5,4.8034778
96.69999695,5.099999905,4.838361647
96.69999695,5.199999809,4.883501147
96.80000305,3.799999952,4.469128581
96.80000305,3.900000095,4.456358478
96.80000305,4,4.450880489
96.80000305,4.099999905,4.471823064
96.80000305,4.199999809,4.507114447
96.80000305,4.300000191,4.522406919
96.80000305,4.400000095,4.551047167
96.80000305,4.5,4.596649594
96.80000305,4.599999905,4.647379847
96.80000305,4.699999809,4.717432422
96.80000305,4.800000191,4.765770878
96.80000305,4.900000095,4.812012303
96.80000305,5,4.850146544
96.80000305,5.099999905,4.885036328
96.80000305,5.199999809,4.920715464
96.90000153,3.700000048,4.382038647
96.90000153,3.799999952,4.364799503
96.90000153,3.900000095,4.353400381
96.90000153,4,4.362472989
96.90000153,4.099999905,4.398276761
96.90000153,4.199999809,4.466519167
96.90000153,4.300000191,4.505114358
96.90000153,4.400000095,4.533766475
96.90000153,4.5,4.584431442
96.90000153,4.599999905,4.669481719
96.90000153,4.699999809,4.743556236
96.90000153,4.800000191,4.804140539
96.90000153,4.900000095,4.854669003
96.90000153,5,4.892714217
96.90000153,5.099999905,4.92501635
96.90000153,5.199999809,4.956730917
97,3.599999905,4.441232186
97,3.700000048,4.339971492
97,3.799999952,4.267370831
97,3.900000095,4.264844506
97,4,4.283035228
97,4.099999905,4.321050769
97,4.199999809,4.39727375
97,4.300000191,4.472060464
97,4.400000095,4.52135445
97,4.5,4.606549144
97,4.599999905,4.691591508
97,4.699999809,4.765666025
97,4.800000191,4.833273389
97,4.900000095,4.893173189
97,5,4.931532961
97,5.099999905,4.960911122
97,5.199999809,4.993039161
97.09999847,2.099999905,4.878230881
97.09999847,3.5,4.503296275
97.09999847,3.599999905,4.398171908
97.09999847,3.700000048,4.295017956
97.09999847,3.799999952,4.229574883
97.09999847,3.900000095,4.239470478
97.09999847,4,4.255945989
97.09999847,4.099999905,4.291765586
97.09999847,4.199999809,4.367395067
97.09999847,4.300000191,4.446714131
97.09999847,4.400000095,4.532856444
97.09999847,4.5,4.620949389
97.09999847,4.599999905,4.706324114
97.09999847,4.699999809,4.780370933
97.09999847,4.800000191,4.847998081
97.09999847,4.900000095,4.917532336
97.09999847,5,4.953605158
97.09999847,5.099999905,4.980933775
97.09999847,5.199999809,5.012602842
97.19999695,1.399999976,4.794913619
97.19999695,2.200000048,4.842140253
97.19999695,3.299999952,4.659028239
97.19999695,3.400000095,4.566968747
97.19999695,3.5,4.463033356
97.19999695,3.599999905,4.359829944
97.19999695,3.700000048,4.270783444
97.19999695,3.799999952,4.213382272
97.19999695,3.900000095,4.229454206
97.19999695,4,4.254503789
97.19999695,4.099999905,4.291906047
97.19999695,4.199999809,4.367555314
97.19999695,4.300000191,4.446927789
97.19999695,4.400000095,4.533718997
97.19999695,4.5,4.627739011
97.19999695,4.599999905,4.717543208
97.19999695,4.699999809,4.791746317
97.19999695,4.800000191,4.865591347
97.19999695,4.900000095,4.940617439
97.19999695,5,4.972897808
97.19999695,5.099999905,4.990453489
97.30000305,1.299999952,4.727773139
97.30000305,1.399999976,4.734430211
97.30000305,3.200000048,4.649514461
97.30000305,3.299999952,4.6023907
97.30000305,3.400000095,4.51167845
97.30000305,3.5,4.421318342
97.30000305,3.599999905,4.33618695
97.30000305,3.700000048,4.254596769
97.30000305,3.799999952,4.19803045
97.30000305,3.900000095,4.216961067
97.30000305,4,4.249745908
97.30000305,4.099999905,4.29483595
97.30000305,4.199999809,4.371173672
97.30000305,4.300000191,4.449796364
97.30000305,4.400000095,4.535614233
97.30000305,4.5,4.630138722
97.30000305,4.599999905,4.725731506
97.30000305,4.699999809,4.809209014
97.30000305,4.800000191,4.888909894
97.30000305,4.900000095,4.963777719
97.30000305,5,4.996050175
97.30000305,5.099999905,5.011777881
97.40000153,1.100000024,4.555686344
97.40000153,1.200000048,4.598709033
97.40000153,1.299999952,4.647138489
97.40000153,1.399999976,4.709362825
97.40000153,1.5,4.7343036
97.40000153,3,4.652988403
97.40000153,3.099999905,4.625454042
97.40000153,3.200000048,4.602444114
97.40000153,3.299999952,4.533837694
97.40000153,3.400000095,4.445511308
97.40000153,3.5,4.388887617
97.40000153,3.599999905,4.346656261
97.40000153,3.700000048,4.283907669
97.40000153,3.799999952,4.226494628
97.40000153,3.900000095,4.242564581
97.40000153,4,4.275804439
97.40000153,4.099999905,4.321717464
97.40000153,4.199999809,4.393291375
97.40000153,4.300000191,4.472657917
97.40000153,4.400000095,4.559431319
97.40000153,4.5,4.655623536
97.40000153,4.599999905,4.747823489
97.40000153,4.699999809,4.829668878
97.40000153,4.800000191,4.908861328
97.40000153,4.900000095,4.9838617
97.40000153,5,5.016136136
97.40000153,5.099999905,5.031636331
97.40000153,5.199999809,5.045603325
97.5,1,4.436541572
97.5,1.100000024,4.471298806
